V1,V2,V3,V4,V5,A1,A2,A3,A4,A5,R1,R2,R3,R4,R5,K1,K2,K3,K4,K5,Score_Visual,Score_Auditory,Score_ReadWrite,Score_Kinesthetic,Dominant_Style
5,4,5,4,4,3,4,3,3,4,2,2,5,3,3,5,5,3,4,5,4.4,3.4,3.0,4.4,Visual
3,4,5,1,2,4,5,2,3,1,5,4,5,3,5,3,1,2,4,4,3.0,3.0,4.4,2.8,ReadWrite
4,5,5,4,5,5,5,5,5,5,3,5,4,4,4,5,5,3,5,5,4.6,5.0,4.0,4.6,Auditory
4,4,4,4,3,3,4,4,3,3,3,3,5,2,4,5,5,3,3,4,3.8,3.4,3.4,4.0,Kinesthetic
4,5,1,1,1,3,3,1,3,1,1,1,5,3,5,5,4,4,5,5,2.4,2.2,3.0,4.6,Kinesthetic
5,5,4,5,3,3,4,2,3,2,5,3,3,5,4,5,5,4,5,5,4.4,2.8,4.0,4.8,Kinesthetic
2,5,4,4,2,3,4,2,4,4,2,1,4,2,2,5,5,4,5,5,3.4,3.4,2.2,4.8,Kinesthetic
5,4,5,5,3,3,5,1,1,1,1,4,5,3,5,4,5,1,3,5,4.4,2.2,3.6,3.6,Visual
4,4,5,5,3,3,5,4,3,3,2,4,4,2,5,3,5,4,5,5,4.2,3.6,3.4,4.4,Kinesthetic
5,5,4,5,3,3,4,4,5,3,3,1,4,3,2,4,5,3,5,5,4.4,3.8,2.6,4.4,Visual
3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3.8,5.0,5.0,4.6,Auditory
5,4,4,5,5,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,4.6,4.6,4.8,4.8,ReadWrite
5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5.0,5.0,4.2,5.0,Visual
4,5,3,3,4,4,4,3,4,3,3,5,4,4,3,3,4,3,3,3,3.8,3.6,3.8,3.2,Visual
3,4,4,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3.8,2.8,3.0,3.0,Visual
4,5,5,5,3,3,2,3,5,2,2,5,4,2,5,5,5,5,5,5,4.4,3.0,3.6,5.0,Kinesthetic
4,5,5,4,3,2,4,2,2,3,1,3,3,1,3,5,5,5,5,5,4.2,2.6,2.2,5.0,Kinesthetic
5,4,5,5,4,2,5,4,2,3,2,2,4,4,5,5,4,4,5,5,4.6,3.2,3.4,4.6,Visual
5,5,5,5,5,4,5,4,4,4,4,5,5,4,5,5,3,4,4,4,5.0,4.2,4.6,4.0,Visual
4,4,4,3,3,4,4,3,3,2,3,4,3,2,2,3,4,3,4,4,3.6,3.2,2.8,3.6,Visual
4,3,4,5,4,3,4,4,5,3,4,5,5,4,4,4,4,4,5,4,4.0,3.8,4.4,4.2,ReadWrite
4,5,5,4,3,4,4,3,4,4,2,2,4,3,4,4,4,4,4,5,4.2,3.8,3.0,4.2,Visual
5,4,5,4,5,4,3,4,5,5,5,4,4,4,3,5,4,4,5,5,4.6,4.2,4.0,4.6,Visual
4,2,5,4,5,2,5,4,5,1,4,5,4,2,5,5,5,4,5,3,4.0,3.4,4.0,4.4,Kinesthetic
4,5,5,5,2,4,5,5,5,5,2,4,5,5,5,4,4,3,5,5,4.2,4.8,4.2,4.2,Auditory
5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5.0,5.0,4.8,5.0,Visual
4,5,5,4,3,2,5,2,3,2,3,2,4,3,5,5,5,2,5,4,4.2,2.8,3.4,4.2,Visual
5,5,5,4,4,3,4,4,3,3,4,4,5,4,4,4,5,3,5,5,4.6,3.4,4.2,4.4,Visual
5,4,5,5,5,1,4,2,3,2,4,3,5,2,5,5,3,2,4,4,4.8,2.4,3.8,3.6,Visual
4,5,4,4,5,5,4,4,5,5,4,3,5,5,4,5,5,5,4,4,4.4,4.6,4.2,4.6,Auditory
5,5,5,5,5,4,5,4,3,4,3,5,5,3,5,5,5,5,5,5,5.0,4.0,4.2,5.0,Visual
4,4,4,3,4,5,4,3,4,5,2,3,4,5,4,1,3,4,5,4,3.8,4.2,3.6,3.4,Auditory
5,5,5,3,4,1,5,5,4,1,2,4,5,1,5,5,3,5,5,5,4.4,3.2,3.4,4.6,Kinesthetic
4,4,4,4,3,3,4,4,5,5,5,5,5,1,5,5,5,5,5,5,3.8,4.2,4.2,5.0,Kinesthetic
5,5,5,5,5,5,5,3,3,3,4,5,5,3,5,5,5,4,5,5,5.0,3.8,4.4,4.8,Visual
4,3,5,4,3,5,5,4,2,5,3,4,2,2,4,5,5,1,5,5,3.8,4.2,3.0,4.2,Auditory
4,5,1,5,3,5,5,3,3,2,3,4,4,5,5,5,5,5,5,5,3.6,3.6,4.2,5.0,Kinesthetic
3,5,4,5,4,4,5,4,5,4,5,4,5,3,4,4,5,4,3,5,4.2,4.4,4.2,4.2,Auditory
3,5,4,5,4,4,3,5,4,3,5,4,5,3,5,4,5,4,5,4,4.2,3.8,4.4,4.4,ReadWrite
3,4,5,4,3,5,4,1,4,3,2,3,4,5,4,4,5,4,5,4,3.8,3.4,3.6,4.4,Kinesthetic
4,5,4,2,4,4,5,4,2,5,4,5,3,5,4,4,5,4,4,5,3.8,4.0,4.2,4.4,Kinesthetic
4,5,3,4,2,3,4,5,4,5,4,5,4,5,3,4,5,4,2,5,3.6,4.2,4.2,4.0,Auditory
4,4,5,4,5,4,5,5,4,5,4,4,5,5,5,4,5,4,4,5,4.4,4.6,4.6,4.4,Auditory
4,5,4,3,2,4,5,2,5,4,4,5,4,4,5,3,5,4,2,5,3.6,4.0,4.4,3.8,ReadWrite
4,5,4,5,4,2,1,5,4,5,5,4,3,4,5,4,5,4,2,5,4.4,3.4,4.2,4.0,Visual
3,5,4,1,5,4,5,4,5,4,4,5,4,5,4,2,5,4,3,5,3.6,4.4,4.4,3.8,Auditory
4,5,3,4,5,4,5,4,3,5,1,5,4,5,4,4,5,4,5,4,4.2,4.2,3.8,4.4,Kinesthetic
4,5,4,5,3,5,4,4,5,5,4,5,2,5,4,5,4,5,3,5,4.2,4.6,4.0,4.4,Auditory
3,5,4,3,5,4,5,4,5,4,4,5,4,5,4,4,5,4,5,4,4.0,4.4,4.4,4.4,Auditory
4,5,4,5,4,4,5,3,2,4,4,5,3,5,4,4,5,4,4,5,4.4,3.6,4.2,4.4,Visual
2,1,3,2,1,2,1,3,2,1,2,1,1,3,2,1,2,2,3,1,1.8,1.8,1.8,1.8,Visual
4,5,3,4,5,4,4,5,3,4,5,4,4,3,4,5,4,4,5,4,4.2,4.0,4.0,4.4,Kinesthetic
4,5,3,5,2,4,5,4,5,4,5,4,5,4,5,2,5,3,4,5,3.8,4.4,4.6,3.8,ReadWrite
5,4,4,3,5,3,4,5,4,4,5,4,5,5,3,4,5,5,4,5,4.2,4.0,4.4,4.6,Kinesthetic
2,1,3,2,2,2,1,3,2,1,2,1,2,2,1,2,3,1,2,2,2.0,1.8,1.6,2.0,Visual
4,5,4,3,5,3,5,4,3,5,5,4,4,5,3,4,5,4,5,4,4.2,4.0,4.2,4.4,Kinesthetic
2,1,3,2,1,2,3,2,1,1,2,2,1,3,2,2,2,1,3,2,1.8,1.8,2.0,2.0,ReadWrite
2,3,1,2,2,2,1,3,2,1,1,3,2,2,1,2,1,1,3,2,2.0,1.8,1.8,1.8,Visual
4,5,3,5,4,4,5,3,5,4,4,5,4,5,4,4,5,4,5,4,4.2,4.2,4.4,4.4,ReadWrite
5,3,4,5,5,4,5,4,3,4,4,5,5,3,4,4,5,4,3,5,4.4,4.0,4.2,4.2,Visual
4,5,2,4,5,4,5,3,4,5,4,5,4,5,4,4,5,4,5,4,4.0,4.2,4.4,4.4,ReadWrite
4,5,5,3,4,5,5,3,4,5,4,5,5,4,5,5,4,4,3,5,4.2,4.4,4.6,4.2,ReadWrite
4,5,4,5,4,4,5,3,5,4,4,5,3,4,5,4,5,4,5,4,4.4,4.2,4.2,4.4,Visual
2,2,1,2,2,2,1,3,2,1,2,1,3,2,2,4,2,1,2,2,1.8,1.8,2.0,2.2,Kinesthetic
4,3,5,4,4,4,4,5,4,5,4,3,5,4,4,4,5,5,4,5,4.0,4.4,4.0,4.6,Kinesthetic
4,5,3,5,4,4,5,4,5,4,3,5,4,5,4,5,4,5,3,5,4.2,4.4,4.2,4.4,Auditory
4,4,5,4,4,3,4,4,5,4,5,4,5,5,4,3,4,5,4,4,4.2,4.0,4.6,4.0,ReadWrite
4,5,5,4,5,4,3,4,5,5,4,5,5,4,5,3,4,4,5,4,4.6,4.2,4.6,4.0,Visual
2,1,3,2,1,2,2,1,3,2,2,1,2,2,3,4,2,1,1,2,1.8,2.0,2.0,2.0,Auditory
5,4,4,3,4,5,5,4,5,5,4,3,4,5,5,4,5,4,5,5,4.0,4.8,4.2,4.6,Auditory
5,4,5,4,3,4,5,4,5,4,4,5,3,2,1,3,5,4,5,4,4.2,4.4,3.0,4.2,Auditory
3,5,4,4,5,4,5,5,3,4,5,4,4,5,4,5,5,3,4,5,4.2,4.2,4.4,4.4,ReadWrite
4,4,5,4,3,4,5,4,4,5,4,5,3,3,5,4,5,4,3,5,4.0,4.4,4.0,4.2,Auditory
4,5,4,5,2,4,5,4,5,3,3,5,4,5,3,5,4,3,5,4,4.0,4.2,4.0,4.2,Auditory
2,3,1,2,2,1,2,1,3,2,2,1,2,3,2,1,2,3,2,1,2.0,1.8,2.0,1.8,Visual
5,5,3,4,5,4,5,5,4,3,4,4,5,4,4,3,5,4,5,5,4.4,4.2,4.2,4.4,Visual
5,4,4,3,4,5,5,4,5,5,4,4,5,4,3,4,5,3,4,5,4.0,4.8,4.0,4.2,Auditory
3,4,4,5,4,4,5,4,3,4,5,4,4,5,4,5,4,5,5,4,4.0,4.0,4.4,4.6,Kinesthetic
5,4,3,4,4,4,5,5,4,3,4,4,5,4,5,4,5,4,3,4,4.0,4.2,4.4,4.0,ReadWrite
4,5,4,3,5,4,5,4,4,3,4,4,5,3,4,5,5,4,5,3,4.2,4.0,4.0,4.4,Kinesthetic
5,4,3,4,4,5,4,4,5,4,5,5,4,3,4,5,5,4,3,5,4.0,4.4,4.2,4.4,Auditory
4,5,3,4,4,4,5,3,4,4,4,5,5,3,4,4,5,3,4,4,4.0,4.0,4.2,4.0,ReadWrite
3,4,4,5,4,4,5,4,3,4,5,4,4,3,5,4,5,5,4,3,4.0,4.0,4.2,4.2,ReadWrite
4,5,3,4,4,5,3,4,4,5,2,3,2,1,2,4,5,5,3,4,4.0,4.2,2.0,4.2,Auditory
2,3,2,1,1,2,3,2,1,2,1,2,2,3,2,2,3,1,2,3,1.8,2.0,2.0,2.2,Kinesthetic
4,5,5,3,4,4,3,5,4,4,4,5,5,3,4,4,4,5,3,4,4.2,4.0,4.2,4.0,Visual
4,4,5,3,4,3,5,4,4,5,2,3,2,1,4,5,3,4,4,5,4.0,4.2,2.4,4.2,Auditory
4,5,3,4,4,4,5,5,3,4,2,4,2,2,3,4,5,3,4,4,4.0,4.2,2.6,4.0,Auditory
5,3,4,4,5,4,5,3,4,4,4,5,3,4,4,4,5,3,5,4,4.2,4.0,4.0,4.2,Visual
5,3,4,4,5,4,5,3,4,4,4,5,3,4,4,5,4,5,5,3,4.2,4.0,4.0,4.4,Kinesthetic
4,5,3,4,4,4,5,3,4,4,2,4,4,1,3,4,5,5,3,4,4.0,4.0,2.8,4.2,Kinesthetic
4,4,5,3,4,4,3,5,4,4,2,5,4,2,3,4,5,3,4,4,4.0,4.0,3.2,4.0,Visual
5,4,4,5,3,4,3,5,4,4,4,5,3,4,4,4,5,3,4,4,4.2,4.0,4.0,4.0,Visual
4,5,5,3,4,4,5,3,4,4,2,5,4,2,3,5,3,4,4,5,4.2,4.0,3.2,4.2,Visual
4,5,3,4,5,4,5,3,4,4,4,5,3,4,4,4,5,3,4,4,4.2,4.0,4.0,4.0,Visual
4,4,5,3,4,4,5,3,4,3,4,5,3,4,4,4,5,3,4,5,4.0,3.8,4.0,4.2,Kinesthetic
5,3,4,4,5,4,5,3,4,4,4,5,3,4,4,4,3,5,4,4,4.2,4.0,4.0,4.0,Visual
4,5,3,4,4,4,3,5,4,4,4,4,5,3,4,4,5,4,3,4,4.0,4.0,4.0,4.0,Visual
4,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4.4,4.4,4.4,4.6,Kinesthetic
4,5,5,5,4,4,5,5,4,5,4,4,5,5,4,4,5,5,4,5,4.6,4.6,4.4,4.6,Visual
4,5,3,4,5,5,4,3,5,4,4,4,3,5,4,5,3,4,4,5,4.2,4.2,4.0,4.2,Visual
4,5,3,5,4,4,5,4,5,4,5,3,4,5,4,4,5,4,3,4,4.2,4.4,4.2,4.0,Auditory
4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,4,4,5,5,4,4.4,4.4,4.4,4.4,Visual
5,4,5,3,4,5,4,5,4,5,4,5,3,5,4,5,4,5,3,5,4.2,4.6,4.2,4.4,Auditory
5,3,5,4,5,4,5,4,5,4,5,3,4,5,4,5,4,5,4,5,4.4,4.4,4.2,4.6,Kinesthetic
4,4,5,5,5,4,4,5,5,5,4,4,5,5,5,4,4,5,5,5,4.6,4.6,4.6,4.6,Visual
4,4,5,4,3,5,4,5,3,5,4,4,5,5,4,5,4,4,3,5,4.0,4.4,4.4,4.2,Auditory
4,4,4,5,5,4,4,4,5,5,4,5,4,4,4,4,4,4,5,5,4.4,4.4,4.2,4.4,Visual
5,5,4,4,5,4,4,5,5,4,4,5,4,4,5,4,4,5,5,4,4.6,4.4,4.4,4.4,Visual
4,4,4,5,5,5,5,5,4,4,4,4,5,5,4,4,4,5,5,4,4.4,4.6,4.4,4.4,Auditory
5,4,3,4,5,4,5,4,3,5,5,3,3,4,5,4,5,3,5,4,4.2,4.2,4.0,4.2,Visual
4,5,3,5,4,5,4,3,4,5,4,5,3,4,5,5,4,3,4,4,4.2,4.2,4.2,4.0,Visual
5,3,4,5,4,5,4,3,5,4,4,4,5,3,5,4,5,3,4,5,4.2,4.2,4.2,4.2,Visual
2,3,1,2,1,2,3,1,1,2,3,1,2,1,2,3,1,2,1,2,1.8,1.8,1.8,1.8,Visual
5,4,5,5,4,4,4,5,5,4,5,5,4,5,4,4,5,4,4,5,4.6,4.4,4.6,4.4,Visual
2,2,1,3,2,1,3,2,1,2,2,3,1,2,1,2,1,3,2,1,2.0,1.8,1.8,1.8,Visual
4,4,5,5,4,4,4,5,5,4,5,5,4,4,4,4,4,5,5,5,4.4,4.4,4.4,4.6,Kinesthetic
4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4.4,4.4,4.6,4.4,ReadWrite
1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1.4,1.4,1.4,1.4,Visual
1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1.6,1.6,1.6,1.6,Visual
1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1.2,1.2,1.2,1.2,Visual
1,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,2,2,1,1.4,1.6,1.4,1.4,Auditory
4,5,4,5,4,4,4,5,5,5,4,5,4,4,5,5,5,4,4,5,4.4,4.6,4.4,4.6,Auditory
4,4,4,5,5,4,4,5,5,4,5,5,4,4,4,5,5,5,4,4,4.4,4.4,4.4,4.6,Kinesthetic
4,4,5,4,4,4,5,4,5,4,4,4,4,5,5,4,4,5,5,4,4.2,4.4,4.4,4.4,Auditory
5,5,4,5,5,5,5,4,5,5,4,5,5,4,5,4,5,4,5,5,4.8,4.8,4.6,4.6,Visual
5,5,4,4,5,5,5,4,4,5,4,4,5,4,5,4,5,5,4,4,4.6,4.6,4.4,4.4,Visual
4,4,4,5,5,4,4,5,5,4,4,5,4,5,5,4,4,4,5,5,4.4,4.4,4.6,4.4,ReadWrite
5,5,4,4,5,4,4,5,5,4,4,5,5,5,4,4,4,5,5,4,4.6,4.4,4.6,4.4,Visual
4,4,4,3,4,3,4,3,3,2,3,4,4,3,4,4,4,4,4,4,3.8,3.0,3.6,4.0,Kinesthetic
